test,tag,start_cycles,end_cycles,duration_cycles,scheduled_send,send,recv,loss_percent,throughput_packets_per_cycle,avg_latency_cycles,dest_local,dest_east,dest_west,dest_north,dest_south,egress_local,egress_east,egress_west,egress_north,egress_south,stall_local,stall_east,stall_west,stall_north,stall_south
router_all_in_one_test,functional_basic,0,906,906,500,500,500,0.00,0.5519,3.00,100,100,100,100,100,100,100,100,100,100,0,0,0,0,0
router_all_in_one_test,transfer_rate_PORT_LOCAL_to_PORT_NORTH,0,204,204,100,100,100,0.00,0.4902,2.00,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0
router_all_in_one_test,transfer_rate_PORT_NORTH_to_PORT_LOCAL,0,204,204,100,100,100,0.00,0.4902,2.00,100,0,0,0,0,100,0,0,0,0,0,0,0,0,0
router_all_in_one_test,transfer_rate_PORT_SOUTH_to_PORT_LOCAL,0,204,204,100,100,100,0.00,0.4902,2.00,100,0,0,0,0,100,0,0,0,0,0,0,0,0,0
router_all_in_one_test,transfer_rate_PORT_WEST_to_PORT_LOCAL,0,204,204,100,100,100,0.00,0.4902,2.00,100,0,0,0,0,100,0,0,0,0,0,0,0,0,0
router_all_in_one_test,transfer_rate_PORT_EAST_to_PORT_LOCAL,0,204,204,100,100,100,0.00,0.4902,2.00,100,0,0,0,0,100,0,0,0,0,0,0,0,0,0
router_all_in_one_test,transfer_rate_PORT_LOCAL_to_PORT_SOUTH,0,204,204,100,100,100,0.00,0.4902,2.00,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0
router_all_in_one_test,transfer_rate_PORT_NORTH_to_PORT_SOUTH,0,204,204,100,100,100,0.00,0.4902,2.00,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0
router_all_in_one_test,transfer_rate_PORT_SOUTH_to_PORT_NORTH,0,204,204,100,100,100,0.00,0.4902,2.00,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0
router_all_in_one_test,transfer_rate_PORT_WEST_to_PORT_NORTH,0,204,204,100,100,100,0.00,0.4902,2.00,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0
router_all_in_one_test,transfer_rate_PORT_EAST_to_PORT_NORTH,0,204,204,100,100,100,0.00,0.4902,2.00,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0
router_all_in_one_test,transfer_rate_PORT_LOCAL_to_PORT_WEST,0,204,204,100,100,100,0.00,0.4902,2.00,0,0,100,0,0,0,0,100,0,0,0,0,0,0,0
router_all_in_one_test,transfer_rate_PORT_NORTH_to_PORT_WEST,0,204,204,100,100,100,0.00,0.4902,2.00,0,0,100,0,0,0,0,100,0,0,0,0,0,0,0
router_all_in_one_test,transfer_rate_PORT_SOUTH_to_PORT_WEST,0,204,204,100,100,100,0.00,0.4902,2.00,0,0,100,0,0,0,0,100,0,0,0,0,0,0,0
router_all_in_one_test,transfer_rate_PORT_WEST_to_PORT_SOUTH,0,204,204,100,100,100,0.00,0.4902,2.00,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0
