test,tag,start_cycles,end_cycles,duration_cycles,scheduled_send,send,recv,loss_percent,throughput_packets_per_cycle,avg_latency_cycles,dest_local,dest_east,dest_west,dest_north,dest_south,egress_local,egress_east,egress_west,egress_north,egress_south,stall_local,stall_east,stall_west,stall_north,stall_south
ranc_all_in_one_test,functional_basic,0,1030,1030,500,500,500,0.00,0.4854,5.02,100,100,100,100,100,300,0,0,100,100,0,0,11,11,4
ranc_all_in_one_test,transfer_rate_PORT_LOCAL_to_PORT_NORTH,0,210,210,100,100,100,0.00,0.4762,9.90,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0
ranc_all_in_one_test,transfer_rate_PORT_NORTH_to_PORT_LOCAL,0,310,310,100,100,100,0.00,0.3226,4.50,100,0,0,0,0,100,0,0,0,0,0,0,0,0,0
ranc_all_in_one_test,transfer_rate_PORT_SOUTH_to_PORT_LOCAL,0,310,310,100,100,100,0.00,0.3226,4.50,100,0,0,0,0,100,0,0,0,0,0,0,0,0,0
ranc_all_in_one_test,transfer_rate_PORT_WEST_to_PORT_LOCAL,0,310,310,100,100,100,0.00,0.3226,6.50,100,0,0,0,0,100,0,0,0,0,0,0,0,0,0
ranc_all_in_one_test,transfer_rate_PORT_EAST_to_PORT_LOCAL,0,310,310,100,100,100,0.00,0.3226,6.50,100,0,0,0,0,100,0,0,0,0,0,0,0,0,0
ranc_all_in_one_test,transfer_rate_PORT_LOCAL_to_PORT_SOUTH,0,210,210,100,100,100,0.00,0.4762,9.90,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0
ranc_all_in_one_test,transfer_rate_PORT_NORTH_to_PORT_SOUTH,0,310,310,100,100,100,0.00,0.3226,7.43,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0
ranc_all_in_one_test,transfer_rate_PORT_SOUTH_to_PORT_NORTH,0,310,310,100,100,100,0.00,0.3226,7.43,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0
ranc_all_in_one_test,transfer_rate_PORT_WEST_to_PORT_NORTH,0,310,310,100,100,100,0.00,0.3226,9.41,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0
ranc_all_in_one_test,transfer_rate_PORT_EAST_to_PORT_NORTH,0,310,310,100,100,100,0.00,0.3226,9.41,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0
ranc_all_in_one_test,transfer_rate_PORT_LOCAL_to_PORT_WEST,0,210,210,100,100,100,0.00,0.4762,7.92,0,0,100,0,0,0,0,100,0,0,0,0,0,0,0
ranc_all_in_one_test,transfer_rate_PORT_NORTH_to_PORT_WEST,0,310,310,100,100,100,0.00,0.3226,4.50,0,0,100,0,0,100,0,0,0,0,0,0,0,0,0
ranc_all_in_one_test,transfer_rate_PORT_SOUTH_to_PORT_WEST,0,310,310,100,100,100,0.00,0.3226,4.50,0,0,100,0,0,100,0,0,0,0,0,0,0,0,0
ranc_all_in_one_test,transfer_rate_PORT_WEST_to_PORT_SOUTH,0,310,310,100,100,100,0.00,0.3226,9.41,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0
ranc_all_in_one_test,transfer_rate_PORT_EAST_to_PORT_SOUTH,0,310,310,100,100,100,0.00,0.3226,9.41,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0
ranc_all_in_one_test,transfer_rate_PORT_LOCAL_to_PORT_EAST,0,210,210,100,100,100,0.00,0.4762,7.92,0,100,0,0,0,0,100,0,0,0,0,0,0,0,0
ranc_all_in_one_test,transfer_rate_PORT_NORTH_to_PORT_EAST,0,310,310,100,100,100,0.00,0.3226,4.50,0,100,0,0,0,100,0,0,0,0,0,0,0,0,0
ranc_all_in_one_test,transfer_rate_PORT_SOUTH_to_PORT_EAST,0,310,310,100,100,100,0.00,0.3226,4.50,0,100,0,0,0,100,0,0,0,0,0,0,0,0,0
ranc_all_in_one_test,transfer_rate_PORT_WEST_to_PORT_EAST,0,310,310,100,100,100,0.00,0.3226,7.43,0,100,0,0,0,0,100,0,0,0,0,0,0,0,0
