test,tag,start_cycles,end_cycles,duration_cycles,scheduled_send,send,recv,loss_percent,throughput_packets_per_cycle,avg_latency_cycles,dest_local,dest_east,dest_west,dest_north,dest_south,egress_local,egress_east,egress_west,egress_north,egress_south,stall_local,stall_east,stall_west,stall_north,stall_south
ravenoc_all_in_one_test,functional_basic,0,1014,1014,500,500,500,0.00,0.4931,4.00,100,100,100,100,100,100,100,100,100,100,0,0,0,0,0
ravenoc_all_in_one_test,transfer_rate_PORT_LOCAL_to_PORT_NORTH,0,304,304,100,100,100,0.00,0.3289,3.50,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0
ravenoc_all_in_one_test,transfer_rate_PORT_NORTH_to_PORT_LOCAL,0,304,304,100,100,100,0.00,0.3289,3.50,100,0,0,0,0,100,0,0,0,0,0,0,0,0,0
ravenoc_all_in_one_test,transfer_rate_PORT_SOUTH_to_PORT_LOCAL,0,304,304,100,100,100,0.00,0.3289,3.50,100,0,0,0,0,100,0,0,0,0,0,0,0,0,0
ravenoc_all_in_one_test,transfer_rate_PORT_WEST_to_PORT_LOCAL,0,304,304,100,100,100,0.00,0.3289,3.50,100,0,0,0,0,100,0,0,0,0,0,0,0,0,0
ravenoc_all_in_one_test,transfer_rate_PORT_EAST_to_PORT_LOCAL,0,304,304,100,100,100,0.00,0.3289,3.50,100,0,0,0,0,100,0,0,0,0,0,0,0,0,0
ravenoc_all_in_one_test,transfer_rate_PORT_LOCAL_to_PORT_SOUTH,0,304,304,100,100,100,0.00,0.3289,3.50,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0
ravenoc_all_in_one_test,transfer_rate_PORT_NORTH_to_PORT_SOUTH,0,304,304,100,100,100,0.00,0.3289,3.50,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0
ravenoc_all_in_one_test,transfer_rate_PORT_SOUTH_to_PORT_NORTH,0,304,304,100,100,100,0.00,0.3289,3.50,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0
ravenoc_all_in_one_test,transfer_rate_PORT_WEST_to_PORT_NORTH,0,304,304,100,100,100,0.00,0.3289,3.50,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0
ravenoc_all_in_one_test,transfer_rate_PORT_EAST_to_PORT_NORTH,0,304,304,100,100,100,0.00,0.3289,3.50,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0
ravenoc_all_in_one_test,transfer_rate_PORT_LOCAL_to_PORT_WEST,0,304,304,100,100,100,0.00,0.3289,3.50,0,0,100,0,0,0,0,100,0,0,0,0,0,0,0
ravenoc_all_in_one_test,transfer_rate_PORT_NORTH_to_PORT_WEST,0,304,304,100,100,100,0.00,0.3289,3.50,0,0,100,0,0,0,0,100,0,0,0,0,0,0,0
ravenoc_all_in_one_test,transfer_rate_PORT_SOUTH_to_PORT_WEST,0,304,304,100,100,100,0.00,0.3289,3.50,0,0,100,0,0,0,0,100,0,0,0,0,0,0,0
ravenoc_all_in_one_test,transfer_rate_PORT_WEST_to_PORT_SOUTH,0,304,304,100,100,100,0.00,0.3289,3.50,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0
ravenoc_all_in_one_test,transfer_rate_PORT_EAST_to_PORT_SOUTH,0,304,304,100,100,100,0.00,0.3289,3.50,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0
ravenoc_all_in_one_test,transfer_rate_PORT_LOCAL_to_PORT_EAST,0,304,304,100,100,100,0.00,0.3289,3.50,0,100,0,0,0,0,100,0,0,0,0,0,0,0,0
ravenoc_all_in_one_test,transfer_rate_PORT_NORTH_to_PORT_EAST,0,304,304,100,100,100,0.00,0.3289,3.50,0,100,0,0,0,0,100,0,0,0,0,0,0,0,0
ravenoc_all_in_one_test,transfer_rate_PORT_SOUTH_to_PORT_EAST,0,304,304,100,100,100,0.00,0.3289,3.50,0,100,0,0,0,0,100,0,0,0,0,0,0,0,0
ravenoc_all_in_one_test,transfer_rate_PORT_WEST_to_PORT_EAST,0,304,304,100,100,100,0.00,0.3289,3.50,0,100,0,0,0,0,100,0,0,0,0,0,0,0,0
ravenoc_all_in_one_test,transfer_rate_PORT_EAST_to_PORT_WEST,0,304,304,100,100,100,0.00,0.3289,3.50,0,0,100,0,0,0,0,100,0,0,0,0,0,0,0
ravenoc_all_in_one_test,benchmark_uniform_light,0,5004,5004,2500,2500,2500,0.00,0.4996,4.00,500,500,500,500,500,500,500,500,500,500,0,0,0,0,0
ravenoc_all_in_one_test,benchmark_uniform_medium,0,3004,3004,2500,2500,2500,0.00,0.8322,4.00,500,500,500,500,500,500,500,500,500,500,0,0,0,0,0
ravenoc_all_in_one_test,benchmark_uniform_heavy,0,2004,2004,2500,2500,2500,0.00,1.2475,4.00,500,500,500,500,500,500,500,500,500,500,0,0,0,0,0
ravenoc_all_in_one_test,benchmark_uniform_saturated,0,1504,1504,2500,2500,2500,0.00,1.6622,3.50,500,500,500,500,500,500,500,500,500,500,0,0,0,0,0
ravenoc_all_in_one_test,benchmark_hotspot_light,0,5004,5004,2000,2000,2000,0.00,0.3997,7.00,2000,0,0,0,0,2000,0,0,0,0,0,0,0,0,0
ravenoc_all_in_one_test,benchmark_hotspot_medium,0,4002,4002,2000,2000,2000,0.00,0.4998,17.93,2000,0,0,0,0,2000,0,0,0,0,0,987,989,985,991
ravenoc_all_in_one_test,benchmark_hotspot_heavy,0,4002,4002,2000,2000,2000,0.00,0.4998,19.94,2000,0,0,0,0,2000,0,0,0,0,0,1985,1987,1983,1989
ravenoc_all_in_one_test,benchmark_hotspot_saturated,0,4002,4002,2000,2000,2000,0.00,0.4998,21.93,2000,0,0,0,0,2000,0,0,0,0,0,2484,2486,2482,2488
ravenoc_all_in_one_test,benchmark_transpose_light,0,5004,5004,2000,2000,2000,0.00,0.3997,4.00,0,500,500,500,500,0,500,500,500,500,0,0,0,0,0
ravenoc_all_in_one_test,benchmark_transpose_medium,0,3004,3004,2000,2000,2000,0.00,0.6658,4.00,0,500,500,500,500,0,500,500,500,500,0,0,0,0,0
ravenoc_all_in_one_test,benchmark_transpose_heavy,0,2004,2004,2000,2000,2000,0.00,0.9980,4.00,0,500,500,500,500,0,500,500,500,500,0,0,0,0,0
ravenoc_all_in_one_test,benchmark_transpose_saturated,0,1504,1504,2000,2000,2000,0.00,1.3298,3.50,0,500,500,500,500,0,500,500,500,500,0,0,0,0,0
ravenoc_all_in_one_test,hotspot_north_light,0,1004,1004,100,100,100,0.00,0.0996,4.00,100,0,0,0,0,100,0,0,0,0,0,0,0,0,0
ravenoc_all_in_one_test,hotspot_north_medium,0,604,604,100,100,100,0.00,0.1656,4.00,100,0,0,0,0,100,0,0,0,0,0,0,0,0,0
ravenoc_all_in_one_test,hotspot_north_heavy,0,404,404,100,100,100,0.00,0.2475,4.00,100,0,0,0,0,100,0,0,0,0,0,0,0,0,0
ravenoc_all_in_one_test,hotspot_north_saturated,0,304,304,100,100,100,0.00,0.3289,3.50,100,0,0,0,0,100,0,0,0,0,0,0,0,0,0
ravenoc_all_in_one_test,hotspot_north_south_light,0,1004,1004,200,200,200,0.00,0.1992,5.00,200,0,0,0,0,200,0,0,0,0,0,0,0,0,0
